Date,inflation rate,unemployment rate,Value of Private Residential Construction,Mortgage Interest Rate,"Percent change of total consumer credit, seasonally adjusted at an annual rate",Home Price Index
05-2000,3.19 % ,4.00%,349907,8.52,9.92,103.67700000000000
06-2000,3.73 % ,4.00%,348133,8.29,19.73,104.42300000000000
07-2000,3.66 % ,4.00%,337374,8.15,15.06,105.05300000000000
08-2000,3.41 % ,4.10%,337583,8.03,16.1,105.76700000000000
09-2000,3.45 % ,3.90%,339048,7.91,4.57,106.53700000000000
10-2000,3.45 % ,3.90%,344095,7.8,11.22,107.38000000000000
11-2000,3.45 % ,3.90%,347301,7.75,11.64,108.30000000000000
12-2000,3.39 %,3.90%,344139,7.38,11.31,109.13800000000000
01-2001,3.73 % ,4.20%,348279,7.03,9,109.84600000000000
02-2001,3.53 % ,4.20%,353629,7.05,13.08,110.49900000000000
03-2001,2.92 % ,4.30%,350029,6.95,8.12,111.10700000000000
04-2001,3.27 % ,4.40%,361991,7.08,8.56,111.65000000000000
05-2001,3.62 % ,4.30%,360534,7.15,5.47,112.16200000000000
06-2001,3.25 % ,4.50%,365905,7.16,7.54,112.79500000000000
07-2001,2.72 % ,4.60%,366500,7.13,3.34,113.49100000000000
08-2001,2.72 % ,4.90%,369000,6.95,6.01,114.16700000000000
09-2001,2.65 % ,5.00%,368809,6.82,5.24,114.81100000000000
10-2001,2.13 % ,5.30%,370957,6.62,10.31,115.30800000000000
11-2001,1.90 % ,5.50%,375803,6.66,18.36,115.85400000000000
12-2001,1.55 %,5.70%,376279,7.07,6.47,116.45200000000000
01-2002,1.14 % ,5.70%,377631,7,-0.28,117.14300000000000
02-2002,1.14 % ,5.70%,385745,6.89,9.31,117.84500000000000
03-2002,1.48 % ,5.70%,385406,7.01,8.15,118.68800000000000
04-2002,1.64 % ,5.90%,398990,6.99,5.87,119.61100000000000
05-2002,1.18 % ,5.80%,394223,6.81,6.72,120.72400000000000
06-2002,1.07 % ,5.80%,401920,6.65,7.88,121.81200000000000
07-2002,1.46 % ,5.80%,404632,6.49,7.49,122.88700000000000
08-2002,1.80 % ,5.70%,398875,6.29,5.13,123.83000000000000
09-2002,1.51 % ,5.70%,394820,6.09,1.94,124.77800000000000
10-2002,2.03 % ,5.70%,397077,6.11,4,125.73300000000000
11-2002,2.20 % ,5.90%,401424,6.07,4.92,126.66700000000000
12-2002,2.38 %,6.00%,411758,6.05,4.23,127.62100000000000
01-2003,2.60 % ,5.80%,417788,5.92,6.36,128.46000000000000
02-2003,2.98 % ,5.90%,417500,5.84,6.56,129.35500000000000
03-2003,3.02 % ,5.90%,413303,5.75,4.7,130.14700000000000
04-2003,2.22 % ,6.00%,420510,5.81,7.73,130.88400000000000
05-2003,2.06 % ,6.10%,421143,5.48,7.99,131.73400000000000
06-2003,2.11 % ,6.30%,430929,5.23,3.41,132.64900000000000
07-2003,2.11 % ,6.20%,448917,5.63,4.01,133.77500000000000
08-2003,2.16 % ,6.10%,453031,6.26,5.33,134.96700000000000
09-2003,2.32 % ,6.10%,458676,6.15,4.67,136.29300000000000
10-2003,2.04 % ,6.00%,469855,5.95,4.9,137.53200000000000
11-2003,1.77 % ,5.80%,485245,5.93,0.53,138.79400000000000
12-2003,1.88 %,5.70%,503356,5.88,6.37,140.18000000000000
01-2004,1.93 % ,5.70%,498640,5.71,6.29,141.64700000000000
02-2004,1.69 % ,5.60%,500439,5.64,4.08,143.19200000000000
03-2004,1.74 % ,5.80%,506879,5.45,8.24,145.05900000000000
04-2004,2.29 % ,5.60%,512400,5.83,1.7,146.59200000000000
05-2004,3.05 % ,5.60%,522534,6.27,4.61,148.18300000000000
06-2004,3.27 % ,5.60%,527794,6.29,4.05,149.84700000000000
07-2004,2.99 % ,5.50%,543260,6.06,5.13,151.33500000000000
08-2004,2.65 % ,5.40%,551447,5.87,3.56,152.63100000000000
09-2004,2.54 % ,5.40%,546306,5.75,9.36,154.17700000000000
10-2004,3.19 % ,5.50%,551137,5.72,9.21,155.75000000000000
11-2004,3.52 % ,5.40%,550392,5.73,3.87,157.52800000000000
12-2004,3.26 %,5.40%,566284,5.75,4.67,159.33000000000000
01-2005,2.97 % ,5.30%,575650,5.71,2.48,161.28800000000000
02-2005,3.01 % ,5.40%,588435,5.63,8.07,163.34400000000000
03-2005,3.15 % ,5.20%,591580,5.93,4.69,165.81200000000000
04-2005,3.51 % ,5.20%,598335,5.86,6.67,167.50100000000000
05-2005,2.80 % ,5.10%,603707,5.72,0.07,169.35100000000000
06-2005,2.53 % ,5.00%,616958,5.58,8.15,171.19000000000000
07-2005,3.17 % ,5.00%,628750,5.7,5.02,172.85900000000000
08-2005,3.64 % ,4.90%,633710,5.82,5.22,174.44200000000000
09-2005,4.69 % ,5.00%,647374,5.77,2.43,176.43700000000000
10-2005,4.35 % ,5.00%,658590,6.07,2.75,178.02800000000000
11-2005,3.46 % ,5.00%,665376,6.33,3.59,179.68100000000000
12-2005,3.42 %,4.90%,670522,6.27,3.82,180.91000000000000
01-2006,3.99 % ,4.70%,675679,6.15,0.74,182.32000000000000
02-2006,3.60 % ,4.80%,678562,6.25,3.8,183.28600000000000
03-2006,3.36 % ,4.70%,668311,6.32,5.47,184.36300000000000
04-2006,3.55 % ,4.70%,650388,6.51,5.97,184.32900000000000
05-2006,4.17 % ,4.60%,633815,6.6,4.75,184.15600000000000
06-2006,4.32 % ,4.60%,615053,6.68,3.66,183.50700000000000
07-2006,4.15 % ,4.70%,598487,6.76,3.65,183.06900000000000
08-2006,3.82 % ,4.70%,584460,6.52,6.31,182.59600000000000
09-2006,2.06 % ,4.50%,573878,6.4,5.5,182.80100000000000
10-2006,1.31 % ,4.40%,561444,6.36,6.6,183.20200000000000
11-2006,1.97 % ,4.50%,548971,6.24,5.61,183.61200000000000
12-2006,2.54 %,4.40%,545011,6.14,7.85,184.14100000000000
01-2007,2.08 % ,4.60%,537571,6.22,0.6,184.51900000000000
02-2007,2.42 % ,4.50%,531641,6.29,5.91,184.59900000000000
03-2007,2.78 % ,4.40%,527865,6.16,6.99,184.15000000000000
04-2007,2.57 % ,4.50%,523666,6.18,4.49,183.00900000000000
05-2007,2.69 % ,4.40%,514131,6.26,7.84,181.60100000000000
06-2007,2.69 % ,4.60%,505936,6.66,4.35,180.25600000000000
07-2007,2.36 % ,4.70%,495976,6.7,5.72,179.11400000000000
08-2007,1.97 % ,4.60%,480974,6.57,9.05,178.12100000000000
09-2007,2.76 % ,4.70%,465709,6.38,6.69,177.56200000000000
10-2007,3.54 % ,4.70%,447819,6.38,7.17,176.62700000000000
11-2007,4.31 % ,4.70%,431878,6.21,7.12,175.14800000000000
12-2007,4.08 %,5.00%,416486,6.1,5.46,174.34200000000000
01-2008,4.28 % ,5.00%,402138,5.76,4.58,173.13300000000000
02-2008,4.03 % ,4.90%,386197,5.92,6.9,171.54100000000000
03-2008,3.98 % ,5.10%,390471,5.97,5.06,170.05300000000000
04-2008,3.94 % ,5.00%,385328,5.92,3.92,168.33900000000000
05-2008,4.18 % ,5.40%,381911,6.04,2.69,166.66100000000000
06-2008,5.02 % ,5.60%,374495,6.32,1,165.02000000000000
07-2008,5.60 % ,5.80%,364873,6.43,1.31,163.57100000000000
08-2008,5.37 % ,6.10%,352598,6.48,-1.39,161.99300000000000
09-2008,4.94 % ,6.10%,340396,6.04,-2.19,160.31100000000000
10-2008,3.66 % ,6.50%,329304,6.2,1.51,158.32700000000000
11-2008,1.07 % ,6.80%,312540,6.09,-4.17,156.14000000000000
12-2008,0.09 %,7.30%,293997,5.29,-3.48,153.61600000000000
01-2009,0.03 % ,7.80%,283870,5.05,1.47,151.50400000000000
02-2009,0.24 % ,8.30%,267938,5.13,-3.85,150.01200000000000
03-2009,-0.38 % ,8.70%,254645,5,-7.14,148.65900000000000
04-2009,-0.74 % ,9.00%,243958,4.81,-3.14,147.94900000000000
05-2009,-1.28 % ,9.40%,237188,4.86,-5.4,147.69500000000000
06-2009,-1.43 % ,9.50%,237343,5.42,-8.52,148.08800000000000
07-2009,-2.10 % ,9.50%,244141,5.22,-0.29,148.40700000000000
08-2009,-1.48 % ,9.60%,250768,5.19,-4.04,148.27300000000000
09-2009,-1.29 % ,9.80%,254135,5.06,-2.57,148.02000000000000
10-2009,-0.18 % ,10.00%,254942,4.95,-6.13,147.84700000000000
11-2009,1.84 % ,9.90%,255941,4.88,-5.55,148.13400000000000
12-2009,2.72 % ,9.90%,255801,4.93,1.62,147.93000000000000
01-2010,2.63 % ,9.80%,254826,5.03,-5.41,147.39400000000000
02-2010,2.14 % ,9.80%,255121,4.99,-6.36,145.63100000000000
03-2010,2.31 % ,9.90%,253924,4.97,1.39,145.85800000000000
04-2010,2.24 % ,9.90%,254574,5.1,-1.79,146.40000000000000
05-2010,2.02 % ,9.60%,252896,4.89,-5.25,146.39000000000000
06-2010,1.05 % ,9.40%,250518,4.74,-1.56,145.71700000000000
07-2010,1.24 % ,9.40%,244354,4.56,1.28,144.98600000000000
08-2010,1.15 % ,9.50%,238695,4.43,-0.32,143.90900000000000
09-2010,1.14 % ,9.50%,237834,4.35,0.8,143.01200000000000
10-2010,1.17 % ,9.40%,236512,4.23,3.81,142.52400000000000
11-2010,1.14 % ,9.80%,237468,4.3,0.53,142.17000000000000
12-2010,1.50 %,9.30%,239030,4.71,-0.36,142.06100000000000
01-2011,1.63 % ,9.10%,240548,4.76,4.78,141.52700000000000
02-2011,2.11 % ,9.00%,240062,4.95,2.9,140.35600000000000
03-2011,2.68 % ,9.00%,241586,4.84,3.72,139.98500000000000
04-2011,3.16 % ,9.10%,244598,4.84,3.57,140.00800000000000
05-2011,3.57 % ,9.00%,245449,4.64,1.79,139.90000000000000
06-2011,3.56 % ,9.10%,247520,4.51,4.08,139.85800000000000
07-2011,3.63 % ,9.00%,249770,4.55,10.88,139.72700000000000
08-2011,3.77 % ,9.00%,251877,4.27,-3.7,139.30600000000000
09-2011,3.87 % ,9.00%,250152,4.11,4.85,138.66600000000000
10-2011,3.53 % ,8.80%,252821,4.07,3.48,137.95100000000000
11-2011,3.39 % ,8.60%,247279,3.99,8.27,137.15200000000000
12-2011,2.96 %,8.50%,247983,3.96,4.13,136.67400000000000
